
2481	spa	¡Intentemos algo!
2482	spa	Tengo que irme a dormir.
2483	spa	¿Qué estás haciendo?
2484	spa	¿Qué es eso?
2485	spa	¡Hoy es 18 de junio y es el cumpleaños de Muiriel!
2486	spa	¡Feliz cumpleaños, Muiriel!
2487	spa	Ahora, Muiriel tiene 20 años.
2488	spa	La contraseña es "Muiriel".
2489	spa	Volveré pronto.
2491	spa	No tengo palabras.
2492	spa	Esto no acabará nunca.
2493	spa	Simplemente no sé qué decir...
2494	spa	Era un conejo malo.
2495	spa	Yo estaba en las montañas.
2496	spa	¿Es una foto reciente?
2497	spa	No sé si tengo tiempo.
2498	spa	Por alguna razón, el micrófono no había funcionado hasta entonces.
2499	spa	Todo el mundo debe aprender por sí mismo al final.
2500	spa	La educación en este mundo me decepciona.
2501	spa	El aprendizaje no debe ser forzado, sino estimulado.
2502	spa	Es una tarea difícil elegir qué está "bien" o "mal", pero has de hacerlo.
2503	spa	Eso no va a cambiar nada.
2504	spa	Eso va a costar 30 €.
2505	spa	Gano 100 € al día.
2506	spa	Quizás me dé pronto por vencido y en lugar de eso me eche una siesta.
2507	spa	Eso es porque no quieres estar solo.
2508	spa	Eso no va a pasar.
2509	spa	A veces él puede ser un chico raro.
2510	spa	Me voy a esforzar por no molestarte en tus estudios.
2511	spa	Sólo puedo preguntarme si acaso es lo mismo para todos los demás.
2512	spa	Supongo que es diferente cuando lo consideras a largo plazo.
2513	spa	No te preocupes.
2515	spa	Los llamaré cuando regrese mañana.
2516	spa	Siempre me gustaron más los personajes misteriosos.
2517	spa	Deberías dormir.
2519	spa	Les dije que me mandaran otro boleto.
2520	spa	Eres tan impaciente conmigo.
2521	spa	No puedo vivir así.
2522	spa	Una vez quise ser astrofísico.
2523	spa	Nunca me gustó la biología.
2524	spa	La última persona a la que le conté mi idea pensó que yo estaba loco.
2525	spa	Si el mundo no fuera como es, yo podría confiar en cualquiera.
2526	spa	Desafortunadamente es verdad.
2527	spa	Están muy ocupados peleándose entre ellos, como para preocuparse por los ideales comunes.
2528	spa	La mayoría de la gente cree que estoy loco.
2529	spa	¡No, no lo soy! ¡Lo eres tú!
2530	spa	¡Esa es mi frase!
2531	spa	¡¡Él está pateándome!!
2532	spa	¿Estás seguro?
2533	spa	Entonces tenemos un problema...
2534	spa	¡Ah, allí hay una mariposa!
2535	spa	¡Date prisa!
2536	spa	No me sorprende.
2537	spa	Si yo pudiera ser así...
2538	spa	Por alguna razón, me siento más vivo por la noche.
2539	spa	Eso depende del contexto.
2540	spa	¡¿Acaso te quieres burlar de mí?!
2541	spa	Es la cosa más estúpida que he dicho nunca.
2542	spa	¡¡No quiero ser patético, quiero ser guay!!
2543	spa	Cuando crezca, quiero ser un rey.
2544	spa	América es un lugar encantador para vivir, si estás aquí para ganar dinero.
2545	spa	Estoy tan gordo.
2546	spa	¿Entonces qué?
2547	spa	Voy a pegarle un tiro.
2548	spa	No soy un pez de verdad, sólo soy un peluche.
2549	spa	¡Yo sólo lo digo!
2550	spa	Eso fue probablemente lo que influenció su decisión.
2551	spa	Siempre me he preguntado cómo será tener hermanos.
2552	spa	Esto es lo que yo habría dicho.
2553	spa	Me tomaría una eternidad explicarte todo.
2554	spa	Eso es porque eres una chica.
2555	spa	Algunas veces no puedo evitar mostrar mis sentimientos.
2556	spa	Es una palabra para la que me gustaría encontrar una sustituta.
2557	spa	Eso sería algo que habría que programar.
2558	spa	No tengo la intención de ser egoísta.
2559	spa	Pensemos en lo peor que podría pasar.
2560	spa	¿Cuántos amigos íntimos tienes?
2561	spa	Yo puedo ser antisocial, pero eso no significa que no hable con la gente.
2562	spa	Así ha sido siempre.
2563	spa	Creo que lo mejor es no ser maleducado.
2564	spa	Uno siempre puede encontrar tiempo.
2565	spa	Yo seré infeliz, pero no me suicidaría.
2566	spa	Cuando yo estaba en el instituto me levantaba a las 6 todas las mañanas.
2567	spa	Cuando me desperté estaba triste.
2568	spa	Por fin está más o menos explicado.
2569	spa	Yo pensaba que te gustaba aprender cosas nuevas.
2570	spa	La mayoría de la gente escribe sobre su vida cotidiana.
2571	spa	Si pudiera enviarte un malvavisco, Trang, lo haría.
2572	spa	Para hacer eso, tienes que arriesgarte.
2573	spa	Todas las personas que están solas, están solas porque tienen miedo de los demás.
2574	spa	¿Por qué lo preguntas?
2575	spa	No soy un artista. Nunca tuve mente para ello.
2576	spa	No puedo decírselo ahora. Ya no es tan simple.
2577	spa	Soy una persona que tiene muchos defectos, pero esos defectos pueden ser corregidos fácilmente.
2578	spa	Cada vez que encuentro algo que me gusta, es demasiado caro.
2579	spa	¿Cuánto tiempo estuviste?
2580	spa	Quizás sea lo mismo para él.
2581	spa	La inocencia es una cosa hermosa.
2582	spa	Los humanos nunca fueron hechos para vivir eternamente.
2583	spa	No quiero perder mis ideas, aunque algunas de ellas sean un poco extremas.
2584	spa	Creo que tengo una teoría sobre eso.
2585	spa	Eso es intrigante.
2586	spa	¿Quieres decir que ocultas intencionalmente tu belleza?
2587	spa	Yo no tengo una cuenta en estos foros.
2588	spa	Si alguien fuera a preguntar cuál es el objetivo de la historia, realmente no lo sé.
2589	spa	No sabía de dónde venía eso.
2590	spa	Creo que nuestra convivencia ha influenciado tu forma de vida.
2591	spa	No es importante.
2592	spa	No me gustaba.
2593	spa	Ella pregunta cómo es posible eso.
2594	spa	Tú simplemente huyes de los problemas de la vida.
2595	spa	Si buscas las letras, realmente no significan mucho.
2596	spa	Hay un problema que no ves.
2597	spa	¡Puedes hacerlo!
2598	spa	A mi profesor de física no le importa si me salto las clases.
2599	spa	Deseo poder ir a Japón.
2600	spa	Odio cuando hay mucha gente.
2601	spa	Me tengo que ir a la cama.
2602	spa	Después de eso, me voy, pero entonces me doy cuenta de que olvidé mi mochila.
2603	spa	No te preguntaré más por hoy.
2604	spa	Puede que hiele la próxima semana.
2605	spa	Aunque él se disculpó, aún estoy enojada.
2606	spa	La policía te hará encontrar las balas.
2607	spa	Gracias por explicarme por fin por qué la gente me toma por un idiota.
2608	spa	No era mi intención.
2609	spa	Gracias por tu explicación.
2610	spa	En teoría, estoy haciendo matemática.
2611	spa	¿Qué ocurrió?
2612	spa	Casi me asustó el no verte conectado por un día entero.
2613	spa	No sé qué quieres decir.
2614	spa	Mi ordenador tiene que ser útil para algo.
2615	spa	¿Querías hablarme de libertad?
2616	spa	Oh, ahora es realmente extraño...
2617	spa	Si yo quisiera asustarte, te contaría qué fue lo que soñé hace un par de semanas.
2618	spa	Uno no puede esperarse todo de los colegios.
2619	spa	Hay muchas palabras que no entiendo.
2620	spa	No me gusta cuando matemáticos que saben mucho más que yo no pueden expresarse con claridad.
2621	spa	Realmente no eres tonto.
2622	spa	Necesito hacerte una pregunta tonta.
2623	spa	¡No sé cómo demostrarlo, ya que es tan evidente!
2624	spa	Nunca hubiera pensado que algún día buscaría "viagra" en Wikipedia.
2625	spa	¿Se puede expresar de otra manera?
2626	spa	Nadie sabrá.
2627	spa	Encontré una solución, pero la encontré tan rápido que no puede ser la correcta.
2628	spa	¡Me parece interesante!
2629	spa	Salvo que aquí no es tan simple.
2630	spa	Me gusta la luz de las velas.
2631	spa	¿Qué has respondido?
2632	spa	No, no es mi nuevo novio.
2633	spa	Es una lástima que yo no tenga que adelgazar.
2634	spa	¡¿Nunca tienes clases o qué?!
2635	spa	Entonces voy a hacer un sudoku en vez de seguir molestándote.
2636	spa	¿Dónde está el problema?
2637	spa	Sólo puedo esperar.
2638	spa	Eso no es ninguna gran sorpresa, ¿o sí?
2639	spa	Te quiero.
2640	spa	Ya no te quiero.
2641	spa	Tengo curiosidad.
2642	spa	¡Felicidades!
2643	spa	No quiero esperar tanto tiempo.
2644	spa	¿Por qué no vienes a visitarnos?
2645	spa	Pero la posibilidad es improbable.
2646	spa	Por una vez en mi vida hago una buena acción... y no sirve de nada.
2647	spa	No debí desconectarme del sitio.
2648	spa	Ya no sé qué hacer.
2649	spa	Es inevitable que yo vaya a Francia algún día, sólo que no sé cuándo.
2650	spa	Detesto la química.
2651	spa	Yo no quería que pasase esto.
2652	spa	Aunque probablemente adivines qué está pasando.
2653	spa	Antes de que te des cuenta, saldrás en los periódicos.
2654	spa	¿Qué otras opciones tengo?
2655	spa	No tengo mucho de viajero.
2656	spa	No tengo nada mejor que hacer.
2657	spa	Tampoco lo puedo explicar.
2658	spa	Todo el mundo tiene fortalezas y debilidades.
2659	spa	Pero en serio, el episodio 21 casi me hizo llorar de risa.
2660	spa	Eso sólo muestra que no eres un robot.
2661	spa	¿Cómo podría ser yo un robot? Si los robots no sueñan.
2662	spa	"Yo nunca pensé en eso", dijo el hombre mayor. "¿Qué deberíamos hacer?"
2663	spa	No es algo que pueda hacer cualquiera.
2664	spa	No sé si todavía lo tengo.
2665	spa	¿Qué piensas que estaba haciendo?
2666	spa	No subestimes mi poder.
2667	spa	Mi mamá no habla muy bien inglés.
2668	spa	¡No hablo francés lo suficientemente bien!
2669	spa	Me estaba preguntando si vendrías hoy.
2670	spa	Ahí radica el problema.
2671	spa	¿Cómo encuentras comida en el espacio?
2672	spa	Todos quieren conocerte. ¡Eres famoso!
2673	spa	¿Por qué lamentas algo que no has hecho?
2674	spa	¡Aborrezco profundamente la escritura formal!
2675	spa	La gente extranjera me intriga.
2676	spa	Cualquier cosa que hago, ella dice que puedo hacerlo mejor.
2677	spa	¿Qué te mantiene despierto hasta tan tarde?
2678	spa	Te sorprendería lo que puedes aprender en una semana.
2679	spa	No tengo a nadie que viaje conmigo.
2680	spa	La vida es dura, pero yo soy más duro.
2681	spa	Soportar puede ser insoportable.
2682	spa	¡Para ya! ¡La estás haciendo sentir incómoda!
